Date,CPI,Nifty 50 (NSEI),Refined Gold Futures,Forward Rates
02-01-2025,193.4,24188.65,3187.2,86.67077766
03-01-2025,193.4,24004.75,3186.4,86.67178828
06-01-2025,193.4,23616.05,3157.6,86.61014046
07-01-2025,193.4,23707.9,3170.5,86.71423433
08-01-2025,193.4,23688.95,3184.5,86.82944502
09-01-2025,193.4,23526.5,3193.7,86.80215827
10-01-2025,193.4,23431.5,3211.4,87.08007879
13-01-2025,193.4,23085.95,3205.5,87.56618705
14-01-2025,193.4,23176.05,3190.4,87.44390202
15-01-2025,193.4,23213.2,3189.5,87.29736211
16-01-2025,193.4,23311.8,3224,87.48937992
17-01-2025,193.4,23203.2,3219.6,87.49039054
21-01-2025,193.4,23024.65,3249,87.37012676
22-01-2025,193.4,23155.35,3263.2,87.36810552
23-01-2025,193.4,23205.35,3247.7,87.34789311
24-01-2025,193.4,23092.2,3280.6,87.1154505
27-01-2025,193.4,22829.15,3243.9,87.26704351
28-01-2025,193.4,22957.25,3254.4,87.50352861
29-01-2025,193.4,23163.1,3258.2,87.55001713
30-01-2025,193.4,23249.5,3289,87.46411442
31-01-2025,193.4,23508.4,3320.1,87.45501884
03-02-2025,192.5,23361.05,3354.9,87.77712524
04-02-2025,192.5,23739.25,3360.5,87.88815886
05-02-2025,192.5,23696.3,3388.1,88.15665835
06-02-2025,192.5,23603.35,3348.3,88.40295111
07-02-2025,192.5,23559.95,3393.8,88.45039275
10-02-2025,192.5,23381.6,3424.4,88.29090809
11-02-2025,192.5,23071.8,3409.4,87.60451843
12-02-2025,192.5,23045.25,3401.3,87.71656144
13-02-2025,192.5,23031.4,3438.2,87.50458817
14-02-2025,192.5,22929.25,3440.1,87.43393041
18-02-2025,192.5,22945.3,3448.7,87.68325136
20-02-2025,192.5,22913.15,3453.7,87.37437601
21-02-2025,192.5,22795.9,3454.6,87.38547937
24-02-2025,192.5,22553.35,3453.5,87.47430627
25-02-2025,192.5,22547.55,3448.5,87.94872265
27-02-2025,192.5,22545.05,3372.8,88.15060197
28-02-2025,192.5,22124.7,3318.5,88.2878799
03-03-2025,192,22119.3,3580.9,88.07994421
04-03-2025,192,22082.65,3617.9,88.07489723
05-03-2025,192,22337.3,3615.4,87.69637351
10-03-2025,192,22460.3,3592.6,88.1102261
12-03-2025,192,22470.5,3610.3,87.96891059
18-03-2025,192,22834.3,3716.1,87.32289678
19-03-2025,192,22907.6,3901.2,87.12101747
21-03-2025,192,23350.4,3951.8,86.79801057
24-03-2025,192,23658.35,3882.8,86.36397005
25-03-2025,192,23668.65,3857.1,86.38718617
26-03-2025,192,23486.85,3854.8,86.42958083
27-03-2025,192,23591.95,3912.8,86.44472177
28-03-2025,192,23519.35,3905.5,86.33772574
02-04-2025,192.6,23332.35,3948.8,86.14838741
03-04-2025,192.6,23250.1,3936.3,85.94372828
04-04-2025,192.6,22904.45,3839.6,86.20081241
07-04-2025,192.6,22161.6,3780.1,86.55568933
08-04-2025,192.6,22535.85,3779.9,86.94484412
09-04-2025,192.6,22399.15,3861.3,87.35819508
11-04-2025,192.6,22828.55,4049.2,86.89443547
15-04-2025,192.6,23328.55,4018.6,86.38127539
16-04-2025,192.6,23437.2,4131,86.28650712
17-04-2025,192.6,23851.65,4092.2,86.0778153
21-04-2025,192.6,24125.55,4238.2,85.86609896
22-04-2025,192.6,24167.25,4250.2,85.87618069
24-04-2025,192.6,24246.7,4123.4,86.02337395
25-04-2025,192.6,24039.35,4060.2,86.08285616
28-04-2025,192.6,24328.5,4115.4,85.85904175
29-04-2025,192.6,24335.95,4094.8,85.85097636
